Time,State1,State2,State3
0,3.01262,2.884681,3.004113
1,3.01262,2.884681,3.004113
2,3.01262,2.884681,3.004113
3,3.01262,2.884681,3.004113
4,3.01262,2.884681,3.004113
5,3.01262,2.884681,3.004113
6,3.01262,2.884681,3.004113
7,3.01262,2.884681,3.004113
8,3.01262,2.884681,3.004113
9,3.01262,2.884681,3.004113
10,3.01262,2.884681,3.004113
11,3.01262,2.884681,3.004113
12,3.01262,2.884681,3.004113
13,3.01262,2.884681,3.004113
14,3.01262,2.884681,3.004113
15,3.01262,2.884681,3.004113
16,3.01262,2.884681,3.004113
17,3.01262,2.884681,3.004113
18,3.01262,2.884681,3.004113
19,3.01262,2.884681,3.004113
20,3.01262,2.884681,3.004113
21,3.01262,2.884681,3.004113
22,3.01262,2.884681,3.004113
23,3.01262,2.884681,3.004113
24,3.015954,2.887455,3.030492
25,3.004045,2.84642,3.041113
26,3.000454,2.869833,3.007553
27,3.008675,2.87047,2.986665
28,2.986604,2.887249,2.978112
29,2.986604,2.887249,2.978112
30,3.005111,2.910137,2.961736
31,3.005111,2.910137,2.961736
32,2.987055,2.913201,2.959319
33,3.086519,2.895009,3.013058
34,3.088886,2.866741,3.014808
35,3.088886,2.866741,3.014808
36,3.088886,2.866741,3.014808
37,3.088886,2.866741,3.014808
38,3.071792,2.880821,2.972815
39,3.071792,2.880821,2.972815
40,3.073351,2.909425,2.969763
41,3.055699,2.897932,2.988906
42,3.098111,2.866499,3.008918
43,3.072833,2.85651,3.00153
44,3.072833,2.85651,3.00153
45,3.084358,2.857527,3.00465
46,3.058153,2.858676,3.025437
47,3.059028,2.857708,3.038496
48,3.025394,2.842184,3.004299
49,3.005688,2.811678,3.035302
50,2.990671,2.793457,3.059447
51,2.971873,2.785692,3.055921
52,2.946747,2.789789,3.053503
53,2.974225,2.8293,3.010997
54,2.949718,2.825636,3.031163
55,2.935046,2.812076,3.006807
56,2.967288,2.833038,2.980512
57,2.962155,2.860249,2.975573
58,2.911044,2.863783,2.935453
59,2.911044,2.863783,2.935453
60,2.911175,2.846207,2.958089
61,2.893605,2.877586,2.938519
62,2.893605,2.877586,2.938519
63,2.844885,2.861816,2.934737
64,2.844034,2.887869,2.932852
65,2.844034,2.887869,2.932852
66,2.880523,2.91243,2.945188
67,2.879124,2.895194,2.957368
68,2.895472,2.909775,2.965153
69,2.917811,2.912775,2.94672
70,2.917811,2.912775,2.94672
71,2.917811,2.912775,2.94672
72,2.890601,2.920324,2.941364
73,2.874464,2.931878,2.957389
74,2.854538,2.912216,2.976082
75,2.8587,2.899444,2.983936
76,2.841572,2.887933,2.974364
77,2.841572,2.887933,2.974364
78,2.829133,2.875126,2.968395
79,2.832887,2.856024,2.948276
80,2.850602,2.862509,2.960302
81,2.84719,2.887711,2.957931
82,2.868797,2.915909,2.956381
83,2.908627,2.926047,2.944132
84,2.873013,2.914905,2.928066
85,2.871271,2.948209,2.894083
86,2.840221,2.909757,2.919875
87,2.823842,2.900934,2.905327
88,2.833793,2.895132,2.923256
89,2.85509,2.926278,2.901659
90,2.875774,2.911206,2.916027
91,2.890794,2.938474,2.884622
92,2.879236,2.936726,2.887347
93,2.846621,2.88584,2.888836
94,2.836804,2.882838,2.88816
95,2.844815,2.897632,2.892168
96,2.869575,2.921434,2.886109
97,2.898451,2.908875,2.907978
98,2.864592,2.865998,2.92047
99,2.878331,2.877756,2.921213
100,2.902343,2.895204,2.941211
101,2.902343,2.895204,2.941211
102,2.902343,2.895204,2.941211
103,2.927015,2.885219,2.962371
104,2.933612,2.883464,2.96122
105,2.933612,2.883464,2.96122
106,2.923479,2.914554,2.931489
107,2.923479,2.914554,2.931489
108,2.954985,2.942838,2.921535
109,2.945874,2.99028,2.887381
110,2.961685,2.99547,2.908875
111,2.988934,3.048176,2.846603
112,2.989027,3.038328,2.868767
113,3.002528,3.032917,2.903505
114,2.952225,3.020347,2.873326
115,2.952225,3.020347,2.873326
116,2.931097,2.976953,2.894848
117,2.957322,2.949506,2.915969
118,2.980232,2.967697,2.918749
119,2.977567,2.980058,2.915424
120,2.966345,2.966128,2.966218
121,2.966345,2.966128,2.966218
122,2.908704,2.95937,2.947054
123,2.902469,2.977833,2.928004
124,2.888242,2.976752,2.941836
125,2.914613,2.963305,2.966675
126,2.914613,2.963305,2.966675
127,2.898093,2.955651,2.96073
128,2.913024,2.982997,2.959179
129,2.932621,2.995324,2.959781
130,2.932621,2.995324,2.959781
131,2.953278,3.008317,2.960416
132,2.916825,2.996136,2.950849
133,2.926056,2.991803,3.004364
134,2.952567,2.963767,3.037211
135,2.96369,2.96975,3.072256
136,2.922429,2.932571,3.075005
137,2.848829,2.937735,3.049438
138,2.867231,2.940701,3.055244
139,2.859125,2.959528,3.038163
140,2.899625,2.977165,3.045407
141,2.930808,2.996492,3.039354
142,2.922833,3.018719,3.049134
143,2.931432,3.0431,3.029205
144,2.927747,3.044703,2.969536
145,2.927747,3.044703,2.969536
146,2.928729,3.023583,2.982962
147,2.920462,3.035691,2.99597
148,2.920462,3.035691,2.99597
149,2.925257,3.036914,2.979491
150,2.899161,3.05024,2.956647
151,2.910216,3.005331,2.976706
152,2.933218,3.02764,2.98999
153,2.922605,3.013756,3.007217
154,2.949915,3.049972,2.972939
155,2.968072,3.082726,2.939721
156,2.948509,3.072617,2.959884
157,2.924425,3.08729,2.949846
158,2.904909,3.095096,2.923959
159,2.925043,3.097082,2.927443
160,2.937594,3.100499,2.938553
161,2.936601,3.11404,2.914047
162,2.936601,3.11404,2.914047
163,2.899227,3.081736,2.93082
164,2.916523,3.092326,2.930621
165,2.903411,3.077701,2.926165
166,2.923532,3.119695,2.927187
167,2.923532,3.119695,2.927187
168,2.921671,3.108785,2.934924
169,2.907586,3.088865,2.953163
170,2.925154,3.079963,2.97582
171,2.946549,3.098545,2.978184
172,2.879366,3.061409,2.985964
173,2.896821,3.06424,3.008952
174,2.911209,3.059098,3.002156
175,2.911209,3.059098,3.002156
176,2.90893,3.056456,2.985048
177,2.901996,3.072286,2.973407
178,2.897069,3.06188,2.986222
179,2.913965,3.051483,3.003497
180,2.907357,3.05319,3.019544
181,2.925249,3.047578,3.039084
182,2.925249,3.047578,3.039084
183,2.92406,3.061836,3.032279
184,2.95452,3.080251,3.043457
185,2.931458,3.078505,3.035337
186,2.957306,3.099147,3.073034
187,2.948347,3.093132,3.078942
188,2.95026,3.095946,3.085789
189,2.977876,3.106585,3.058685
190,2.996263,3.117254,3.038389
191,3.002888,3.18219,3.015851
192,3.012009,3.187031,3.013965
193,3.010283,3.225723,3.021049
194,2.993242,3.20891,3.052122
195,2.995364,3.193391,3.051392
196,2.995364,3.193391,3.051392
197,2.986178,3.183961,3.068208
198,2.955353,3.188707,3.047436
199,2.950237,3.194072,3.035946
200,2.950237,3.194072,3.035946
201,2.922702,3.208124,2.998655
202,2.922702,3.208124,2.998655
203,2.878492,3.193616,3.038414
204,2.876621,3.19889,3.072193
205,2.888752,3.205483,3.087018
206,2.884132,3.204535,3.091733
207,2.88105,3.1916,3.093175
208,2.892226,3.218714,3.074963
209,2.892226,3.218714,3.074963
210,2.885573,3.213698,3.106698
211,2.885758,3.201419,3.093324
212,2.90561,3.222102,3.060858
213,2.911638,3.227218,3.061884
214,2.894659,3.233276,3.037668
215,2.894659,3.233276,3.037668
216,2.887103,3.21986,3.054651
217,2.902056,3.233286,3.056615
218,2.890153,3.22962,3.064058
219,2.902096,3.259972,3.061385
220,2.911536,3.254682,3.017402
221,2.902405,3.259744,3.037269
222,2.915188,3.318694,2.979877
223,2.915188,3.318694,2.979877
224,2.93604,3.357831,2.947056
225,2.958981,3.344734,2.93319
226,2.95632,3.358646,2.931919
227,2.955474,3.361168,2.913269
228,2.971668,3.378462,2.905143
229,2.970621,3.354719,2.897447
230,2.970621,3.354719,2.897447
231,2.961831,3.35398,2.882173
232,2.953762,3.347725,2.893529
233,2.966648,3.362725,2.890423
234,2.973531,3.344285,2.877496
235,2.955774,3.313599,2.868492
236,2.955086,3.320047,2.896676
237,2.947592,3.313972,2.907811
238,2.947592,3.313972,2.907811
239,2.945401,3.299868,2.906593
240,2.98061,3.326737,2.822953
241,2.981372,3.353272,2.854143
242,2.971742,3.363173,2.909515
243,2.968065,3.347421,2.909214
244,2.973315,3.359176,2.918659
245,2.958971,3.349006,2.925758
246,2.922539,3.362119,2.94858
247,2.922539,3.362119,2.94858
248,2.878205,3.363446,2.980059
249,2.90398,3.384726,2.971052
250,2.9619,3.454165,2.992292
251,2.947516,3.456368,2.974608
252,2.983736,3.480645,2.958305
253,2.97029,3.484705,2.970135
254,3.020542,3.507846,2.91378
255,3.012413,3.50679,2.930262
256,3.003896,3.505685,2.947527
257,3.004061,3.507366,2.924119
258,3.003849,3.49435,2.922879
259,3.028016,3.512129,2.916291
260,3.028016,3.512129,2.916291
261,3.028016,3.512129,2.916291
262,3.028158,3.514761,2.890299
263,3.008051,3.495821,2.889858
264,3.054799,3.484103,2.86068
265,3.075119,3.506043,2.854198
266,3.076791,3.515432,2.888886
